sex,country,year,age,generation,suicides_no,population,suicides/100k pop,Suma - HDI for year,Suma -  gdp_for_year ($) ,Suma - gdp_per_capita ($)
male,Antigua and Barbuda,1992,35-54 years,1,0,6497,0,,499281148,8087
male,Antigua and Barbuda,1992,5-14 years,5,0,7059,0,,499281148,8087
male,Antigua and Barbuda,1992,55-74 years,6,0,2851,0,,499281148,8087
male,Antigua and Barbuda,1992,75+ years,2,0,853,0,,499281148,8087
male,Antigua and Barbuda,1993,15-24 years,3,0,6069,0,,535172778,8453
male,Antigua and Barbuda,1993,25-34 years,1,1,6668,15,,535172778,8453
male,Antigua and Barbuda,1993,35-54 years,1,0,6915,0,,535172778,8453
male,Antigua and Barbuda,1993,5-14 years,5,0,7298,0,,535172778,8453
male,Antigua and Barbuda,1993,55-74 years,6,0,2879,0,,535172778,8453
male,Antigua and Barbuda,1993,75+ years,2,0,896,0,,535172778,8453
male,Antigua and Barbuda,1994,15-24 years,3,0,5976,0,,589429593,9062
male,Antigua and Barbuda,1994,25-34 years,1,0,6886,0,,589429593,9062
male,Antigua and Barbuda,1994,35-54 years,1,0,7359,0,,589429593,9062
male,Antigua and Barbuda,1994,5-14 years,5,0,7494,0,,589429593,9062
male,Antigua and Barbuda,1994,55-74 years,6,0,2935,0,,589429593,9062
male,Antigua and Barbuda,1994,75+ years,2,0,929,0,,589429593,9062
male,Antigua and Barbuda,1995,15-24 years,3,0,5953,0,,577280741,8636
male,Antigua and Barbuda,1995,25-34 years,3,0,7023,0,,577280741,8636
male,Antigua and Barbuda,1995,35-54 years,1,0,7809,0,,577280741,8636
male,Antigua and Barbuda,1995,5-14 years,5,0,7632,0,,577280741,8636
male,Antigua and Barbuda,1995,55-74 years,6,0,3021,0,,577280741,8636
male,Antigua and Barbuda,1995,75+ years,2,0,944,0,,577280741,8636
male,Antigua and Barbuda,1996,15-24 years,,,,,,,
male,Antigua and Barbuda,1996,25-34 years,,,,,,,
male,Antigua and Barbuda,1996,35-54 years,,,,,,,
male,Antigua and Barbuda,1996,5-14 years,,,,,,,
male,Antigua and Barbuda,1996,55-74 years,,,,,,,
male,Antigua and Barbuda,1996,75+ years,,,,,,,
male,Antigua and Barbuda,1997,15-24 years,,,,,,,
male,Antigua and Barbuda,1997,25-34 years,,,,,,,
male,Antigua and Barbuda,1997,35-54 years,,,,,,,
male,Antigua and Barbuda,1997,5-14 years,,,,,,,
male,Antigua and Barbuda,1997,55-74 years,,,,,,,
male,Antigua and Barbuda,1997,75+ years,,,,,,,
male,Antigua and Barbuda,1998,15-24 years,3,0,5916,0,,727860593,10078
male,Antigua and Barbuda,1998,25-34 years,3,0,7294,0,,727860593,10078
male,Antigua and Barbuda,1998,35-54 years,1,0,9086,0,,727860593,10078
male,Antigua and Barbuda,1998,5-14 years,5,0,7706,0,,727860593,10078
male,Antigua and Barbuda,1998,55-74 years,6,0,3213,0,,727860593,10078
male,Antigua and Barbuda,1998,75+ years,2,0,954,0,,727860593,10078
male,Antigua and Barbuda,1999,15-24 years,3,0,5845,0,,766198926,10378
male,Antigua and Barbuda,1999,25-34 years,3,0,7263,0,,766198926,10378
male,Antigua and Barbuda,1999,35-54 years,1,0,9537,0,,766198926,10378
male,Antigua and Barbuda,1999,5-14 years,5,0,7805,0,,766198926,10378
